date,product,quantity,revenue
2023-01-01,Product A,150,7500.00
2023-01-01,Product B,200,10000.00
2023-01-01,Product C,75,3750.00
2023-01-02,Product A,180,9000.00
2023-01-02,Product B,220,11000.00
2023-01-02,Product C,85,4250.00
2023-01-03,Product A,160,8000.00
2023-01-03,Product B,190,9500.00
2023-01-03,Product C,90,4500.00
2023-01-04,Product A,170,8500.00
2023-01-04,Product B,210,10500.00
2023-01-04,Product C,80,4000.00
2023-01-05,Product A,190,9500.00
2023-01-05,Product B,230,11500.00
2023-01-05,Product C,95,4750.00
2023-01-06,Product A,200,10000.00
2023-01-06,Product B,240,12000.00
2023-01-06,Product C,100,5000.00
2023-01-07,Product A,180,9000.00
2023-01-07,Product B,220,11000.00
2023-01-07,Product C,85,4250.00
2023-01-08,Product A,170,8500.00
2023-01-08,Product B,210,10500.00
2023-01-08,Product C,80,4000.00
2023-01-09,Product A,190,9500.00
2023-01-09,Product B,230,11500.00
2023-01-09,Product C,90,4500.00
2023-01-10,Product A,210,10500.00
2023-01-10,Product B,250,12500.00
2023-01-10,Product C,110,5500.00
2023-01-11,Product A,220,11000.00
2023-01-11,Product B,260,13000.00
2023-01-11,Product C,115,5750.00
2023-01-12,Product A,230,11500.00
2023-01-12,Product B,270,13500.00
2023-01-12,Product C,120,6000.00
2023-01-13,Product A,240,12000.00
2023-01-13,Product B,280,14000.00
2023-01-13,Product C,125,6250.00
2023-01-14,Product A,250,12500.00
2023-01-14,Product B,290,14500.00
2023-01-14,Product C,130,6500.00
2023-01-15,Product A,260,13000.00
2023-01-15,Product B,300,15000.00
2023-01-15,Product C,135,6750.00 
